url,path,type,http_status,in_sitemap,robots,title,title_length,meta_description,description_length,canonical,h1,h2_count,h3_count,image_count,internal_links,jsonld_types,faq_count
https://theburgersleeves.com/,/,homepage,200,yes,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",Custom Burger Sleeves | Printed & Kraft Food Packaging,54,"Order custom burger sleeves with logo printing, grease-resistant kraft material, and bulk wholesale options for restaurants, food trucks etc",140,https://theburgersleeves.com/,Custom Burger Sleeves,13,40,24,46,Organization PostalAddress WebSite FAQPage Question Answer,10
https://theburgersleeves.com/404.html,/404.html,404,404,no,"noindex, follow",Page Not Found - The Burger Sleeves,35,The page you were looking for is not here. Browse our burger sleeve categories or request a free quote.,103,https://theburgersleeves.com/404/,We couldn't find that page,3,0,2,39,,0
https://theburgersleeves.com/about-us/,/about-us/,page,200,yes,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",About Us - The Burger Sleeves,29,"Learn how The Burger Sleeves turns custom printed burger sleeves into marketing for restaurants, food trucks and cafes.",119,https://theburgersleeves.com/about-us/,About Us,6,0,4,39,Organization PostalAddress WebSite BreadcrumbList ListItem,0
https://theburgersleeves.com/brand/the-burger-sleeves/,/brand/the-burger-sleeves/,brand-archive,200,yes,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",The Burger Sleeves Archives - The Burger Sleeves,48,"Every burger sleeve made by The Burger Sleeves: custom printed, kraft, black, white and die-cut packaging for food service.",123,https://theburgersleeves.com/brand/the-burger-sleeves/,The Burger Sleeves,19,0,18,50,Organization PostalAddress WebSite BreadcrumbList ListItem ItemList,0
https://theburgersleeves.com/brand/the-burger-sleeves/page/2/,/brand/the-burger-sleeves/page/2/,brand-archive,200,no,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",The Burger Sleeves Archives - Page 2 of 3 - The Burger Sleeves,62,"Every burger sleeve made by The Burger Sleeves: custom printed, kraft, black, white and die-cut packaging for food service.",123,https://theburgersleeves.com/brand/the-burger-sleeves/page/2/,The Burger Sleeves,19,0,18,46,Organization PostalAddress WebSite BreadcrumbList ListItem ItemList,0
https://theburgersleeves.com/brand/the-burger-sleeves/page/3/,/brand/the-burger-sleeves/page/3/,brand-archive,200,no,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",The Burger Sleeves Archives - Page 3 of 3 - The Burger Sleeves,62,"Every burger sleeve made by The Burger Sleeves: custom printed, kraft, black, white and die-cut packaging for food service.",123,https://theburgersleeves.com/brand/the-burger-sleeves/page/3/,The Burger Sleeves,15,0,14,44,Organization PostalAddress WebSite BreadcrumbList ListItem ItemList,0
https://theburgersleeves.com/contact-us/,/contact-us/,page,200,yes,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",Contact Us - The Burger Sleeves,31,"Call (503) 358-0443, email us or send a message about custom burger sleeve packaging. We reply to every enquiry.",112,https://theburgersleeves.com/contact-us/,Contact Us,8,0,2,40,Organization PostalAddress WebSite BreadcrumbList ListItem,0
https://theburgersleeves.com/get-free-quote/,/get-free-quote/,page,200,yes,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",Get Free Quote - The Burger Sleeves,35,"Request a free quote for custom burger sleeves. Share your size, colours, quantity and artwork and we will price it.",116,https://theburgersleeves.com/get-free-quote/,Get Free Quote,3,0,2,38,Organization PostalAddress WebSite BreadcrumbList ListItem,0
https://theburgersleeves.com/privacy-policy/,/privacy-policy/,policy,200,yes,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",Privacy Policy - The Burger Sleeves,35,"How The Burger Sleeves collects, uses and protects the personal information you share through our website and enquiries.",120,https://theburgersleeves.com/privacy-policy/,Privacy Policy,12,0,2,36,Organization PostalAddress WebSite BreadcrumbList ListItem,0
https://theburgersleeves.com/product-category/burger-sleeves-combo/,/product-category/burger-sleeves-combo/,product-category,200,yes,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",Custom Burger Sleeves | Printed Packaging | The Burger Sleeves,62,"Custom printed burger sleeves and kraft food packaging. Get high-quality, branded burger wraps for your restaurant. Request a free quote today!",143,https://theburgersleeves.com/product-category/burger-sleeves-combo/,Burger Sleeves Combo,10,0,6,46,Organization PostalAddress WebSite BreadcrumbList ListItem ItemList FAQPage Question Answer,10
https://theburgersleeves.com/product-category/burger-sleeves-materials/,/product-category/burger-sleeves-materials/,product-category,200,yes,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",Burger Sleeve Materials | Custom Food Packaging | TBS,53,"Explore premium burger sleeve materials: eco-friendly kraft paper, greaseproof, and custom printed options. Durable packaging for your restaurant!",146,https://theburgersleeves.com/product-category/burger-sleeves-materials/,Burger Sleeves Materials,12,0,8,48,Organization PostalAddress WebSite BreadcrumbList ListItem ItemList FAQPage Question Answer,10
https://theburgersleeves.com/product-category/burger-sleeves-sizes/,/product-category/burger-sleeves-sizes/,product-category,200,yes,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",Burger Sleeve Sizes | Custom Packaging | Free Quote | TBS,57,"Find the perfect burger sleeve size for your menu. Standard, large, and custom sizes available. Fits sliders to gourmet burgers. Order yours today!",147,https://theburgersleeves.com/product-category/burger-sleeves-sizes/,Burger Sleeves Sizes,12,0,8,42,Organization PostalAddress WebSite BreadcrumbList ListItem ItemList FAQPage Question Answer,10
https://theburgersleeves.com/product-category/burger-sleeves-styles/,/product-category/burger-sleeves-styles/,product-category,200,yes,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",Burger Sleeve Styles | Custom Printed | The Burger Sleeves,58,"Explore burger sleeve styles: custom printed designs, natural kraft, windowed, and foil-lined options. Create unique packaging for your brand today!",148,https://theburgersleeves.com/product-category/burger-sleeves-styles/,Burger Sleeves Styles,12,0,8,42,Organization PostalAddress WebSite BreadcrumbList ListItem ItemList FAQPage Question Answer,10
https://theburgersleeves.com/product-category/burger-sleeves-usage/,/product-category/burger-sleeves-usage/,product-category,200,yes,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",Burger Sleeves Usage | The Burger Sleeves | Order Now,53,"Learn how to use The Burger Sleeves for restaurants, food trucks & catering. Keep food fresh, grease-free & branded. Order Now for a Free Quote!",144,https://theburgersleeves.com/product-category/burger-sleeves-usage/,Burger Sleeves Usage,14,0,10,50,Organization PostalAddress WebSite BreadcrumbList ListItem ItemList FAQPage Question Answer,10
https://theburgersleeves.com/product-category/customized-burger-sleeves/,/product-category/customized-burger-sleeves/,product-category,200,yes,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",Customized Burger Sleeves | Custom Printed | Free Quote,55,"Design customized burger sleeves that showcase your brand. Premium printing, unlimited colors, fast turnaround. Order custom packaging. Free Quote!",147,https://theburgersleeves.com/product-category/customized-burger-sleeves/,Customized Burger Sleeves,14,0,10,50,Organization PostalAddress WebSite BreadcrumbList ListItem ItemList FAQPage Question Answer,10
https://theburgersleeves.com/product-category/special-sleeves-uses/,/product-category/special-sleeves-uses/,product-category,200,yes,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",Special Sleeve Uses | The Burger Sleeves | Free Quote,53,"The Burger Sleeves perfect for corporate events, food trucks, festivals & promotional campaigns. Creative packaging solutions. Order Now, Free Quote!",149,https://theburgersleeves.com/product-category/special-sleeves-uses/,Special Sleeves Uses,12,0,8,42,Organization PostalAddress WebSite BreadcrumbList ListItem ItemList FAQPage Question Answer,10
https://theburgersleeves.com/product/black-burger-sleeves/,/product/black-burger-sleeves/,product,200,yes,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",Black Burger Sleeves | Strong Board | The Burger Sleeves,56,Black burger sleeves made from sturdy paperboard with grease control and clear branding panels for takeaway service. Free design and shipping.,142,https://theburgersleeves.com/product/black-burger-sleeves/,Black Burger Sleeves,8,19,16,41,Organization PostalAddress WebSite BreadcrumbList ListItem Product Brand FAQPage Question Answer,15
https://theburgersleeves.com/product/black-printed-burger-sleeves/,/product/black-printed-burger-sleeves/,product,200,yes,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",Black Printed Burger Sleeves | Dark Finish | The Burger Sleeves,63,Black printed burger sleeves for modern presentation with sharp readability and grease control. Artwork assistance and flexible ordering options available.,155,https://theburgersleeves.com/product/black-printed-burger-sleeves/,Black Printed Burger Sleeves,8,19,7,45,Organization PostalAddress WebSite BreadcrumbList ListItem Product Brand FAQPage Question Answer,15
https://theburgersleeves.com/product/branded-burger-sleeves/,/product/branded-burger-sleeves/,product,200,yes,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",Branded Burger Sleeves | Print Space | The Burger Sleeves,57,"Free artwork help and quick pricing for branded burger sleeves with clean hand-feel, clear branding space, grease control options, and flat pack handling.",154,https://theburgersleeves.com/product/branded-burger-sleeves/,Branded Burger Sleeves,8,19,7,45,Organization PostalAddress WebSite BreadcrumbList ListItem Product Brand FAQPage Question Answer,15
https://theburgersleeves.com/product/burger-and-fries-sleeves/,/product/burger-and-fries-sleeves/,product,200,yes,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",Burger And Fries Sleeves Packaging | The Burger Sleeves,55,"Burger and fries sleeves packaging for combined serving with clean grip and grease control. Get custom quotes, free design, and free shipping.",142,https://theburgersleeves.com/product/burger-and-fries-sleeves/,Burger and Fries Sleeves,8,18,13,44,Organization PostalAddress WebSite BreadcrumbList ListItem Product Brand FAQPage Question Answer,15
https://theburgersleeves.com/product/burger-sandwich-sleeves/,/product/burger-sandwich-sleeves/,product,200,yes,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",Burger Sandwich Sleeves For Quick Serve | The Burger Sleeves,60,"Burger sandwich sleeves for quick-serve service, built for cleaner grip and better wrap control with clear print panels that help streamline order handling.",156,https://theburgersleeves.com/product/burger-sandwich-sleeves/,Burger Sandwich Sleeves,8,18,15,44,Organization PostalAddress WebSite BreadcrumbList ListItem Product Brand FAQPage Question Answer,15
https://theburgersleeves.com/product/burger-sleeves/,/product/burger-sleeves/,product,200,yes,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",Burger Sleeves | Fast Packing | The Burger Sleeves,50,"Free design help and a quick quote for burger sleeves built for fast packing, clean grip, and steady hold across counter, takeaway, and tray service.",149,https://theburgersleeves.com/product/burger-sleeves/,Burger Sleeves,8,19,16,46,Organization PostalAddress WebSite BreadcrumbList ListItem Product Brand FAQPage Question Answer,15
https://theburgersleeves.com/product/burger-wrapping-sleeves/,/product/burger-wrapping-sleeves/,product,200,yes,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",Burger Wrapping Sleeves Packaging | The Burger Sleeves,54,"Burger wrapping sleeves that add clean grip support, help reduce grease transfer, and keep wraps steady during handoff, takeaway carry, and tray service.",153,https://theburgersleeves.com/product/burger-wrapping-sleeves/,Burger Wrapping Sleeves,8,18,6,44,Organization PostalAddress WebSite BreadcrumbList ListItem Product Brand FAQPage Question Answer,15
https://theburgersleeves.com/product/cafe-burger-sleeves/,/product/cafe-burger-sleeves/,product,200,yes,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",Cafe Burger Sleeves Packaging | The Burger Sleeves,50,Free design support for cafe burger sleeves built for clean handling and neat presentation. Request a custom quote and free shipping.,133,https://theburgersleeves.com/product/cafe-burger-sleeves/,Cafe Burger Sleeves,10,21,16,41,Organization PostalAddress WebSite BreadcrumbList ListItem Product Brand FAQPage Question Answer,15
https://theburgersleeves.com/product/cardboard-burger-sleeves/,/product/cardboard-burger-sleeves/,product,200,yes,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",Cardboard Burger Sleeve | Print Ready Panel | The Burger Sleeves,64,Get pricing for cardboard burger sleeves built for steady grip and clean handling. Artwork support and free shipping available.,127,https://theburgersleeves.com/product/cardboard-burger-sleeves/,Cardboard Burger Sleeves,10,21,7,45,Organization PostalAddress WebSite BreadcrumbList ListItem Product Brand FAQPage Question Answer,15
https://theburgersleeves.com/product/cheeseburger-sleeves/,/product/cheeseburger-sleeves/,product,200,yes,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",Cheeseburger Sleeves | Moisture Control | The Burger Sleeves,60,"Cheeseburger sleeves for cheese heavy wraps with clean grip, neat presentation, and board options for moisture control. Free shipping and design help.",150,https://theburgersleeves.com/product/cheeseburger-sleeves/,Cheeseburger Sleeves,8,19,14,46,Organization PostalAddress WebSite BreadcrumbList ListItem Product Brand FAQPage Question Answer,15
https://theburgersleeves.com/product/corrugated-burger-sleeves/,/product/corrugated-burger-sleeves/,product,200,yes,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",Corrugated Burger Sleeves | Fluted Board | The Burger Sleeves,61,Get pricing for corrugated burger sleeves built for strong grip and stable hold during carry. Artwork support and free shipping available.,138,https://theburgersleeves.com/product/corrugated-burger-sleeves/,Corrugated Burger Sleeves,10,21,16,45,Organization PostalAddress WebSite BreadcrumbList ListItem Product Brand FAQPage Question Answer,15
https://theburgersleeves.com/product/custom-burger-sleeves/,/product/custom-burger-sleeves/,product,200,yes,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",Custom Burger Sleeves | Size-Matched Burger Sleeve Packaging,60,"Custom burger sleeves matched to your burger dimensions and serving style. Options for paper type, barrier layers, and layout zones.",132,https://theburgersleeves.com/product/custom-burger-sleeves/,Custom Burger Sleeves,8,19,7,45,Organization PostalAddress WebSite BreadcrumbList ListItem Product Brand FAQPage Question Answer,15
https://theburgersleeves.com/product/die-cut-burger-sleeves/,/product/die-cut-burger-sleeves/,product,200,yes,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",Die Cut Burger Sleeves | Quick Service | The Burger Sleeves,59,"Free design and custom quote for die cut burger sleeves with locking fit, clean grip handling, and sturdy board for fast packing and service.",141,https://theburgersleeves.com/product/die-cut-burger-sleeves/,Die Cut Burger Sleeves,8,19,16,41,Organization PostalAddress WebSite BreadcrumbList ListItem Product Brand FAQPage Question Answer,15
https://theburgersleeves.com/product/disposable-burger-sleeves/,/product/disposable-burger-sleeves/,product,200,yes,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",Disposable Burger Sleeves | Single Use Burger Paper Sleeves,59,"Get a quick quote for takeaway burger sleeves built for easy carry with secure grip, oil control, and labeling space, plus free shipping.",137,https://theburgersleeves.com/product/disposable-burger-sleeves/,Disposable Burger Sleeves,8,19,7,46,Organization PostalAddress WebSite BreadcrumbList ListItem Product Brand FAQPage Question Answer,15
